Option,Method,Type,Value
EuroPut,BlackScholes,Price,0.022933062897294354
EuroPut,BlackScholes,Delta,-0.006821731753119987
EuroPut,BlackScholes,Gamma,0.0019025827586780487
EuroPut,BlackScholes,Vega,1.9025827586780486
EuroPut,BlackScholes,Theta,0.0390703779548362
EuroPut,BlackScholes,Rho,-0.705106238209293
EuroPut,TrinomialTree,Price,0.02253149234027445
EuroPut,TrinomialTree,Delta,-0.0068322083444793
EuroPut,TrinomialTree,Gamma,0.0018093018525280995
EuroPut,TrinomialTree,Vega,1.8970563700520198
EuroPut,TrinomialTree,Theta,-0.03866086455195426
EuroPut,TrinomialTree,Rho,-0.7022983957472188
EuroPut,Monte Carlo,Price,0.022710637975210127
EuroCall,BlackScholes,Price,21.248494895405827
EuroCall,BlackScholes,Delta,0.9832281019960482
EuroCall,BlackScholes,Gamma,0.0019025827586780487
EuroCall,BlackScholes,Vega,1.9025827586780486
EuroCall,BlackScholes,Theta,-14.52676409677765
EuroCall,BlackScholes,Rho,77.07431530419898
EuroCall,TrinomialTree,Price,21.24569542223998
EuroCall,TrinomialTree,Delta,0.9831936463786022
EuroCall,TrinomialTree,Gamma,0.0018093018525178195
EuroCall,TrinomialTree,Vega,1.9205112797475703
EuroCall,TrinomialTree,Theta,14.528566587101787
EuroCall,TrinomialTree,Rho,77.04055561135353
EuroCall,Monte Carlo,Price,21.150625813383474
DigiCall,BlackScholes,Price,0.811308582149463
DigiCall,BlackScholes,Delta,0.002002877991569399
DigiCall,BlackScholes,Gamma,-0.0004932716910267006
DigiCall,BlackScholes,Vega,-0.4932474188025777
DigiCall,BlackScholes,Theta,-0.14888159783937346
DigiCall,BlackScholes,Rho,-0.6110378101159801
DigiCall,TrinomialTree,Price,0.8112461333496134
DigiCall,TrinomialTree,Delta,0.0015741429497762027
DigiCall,TrinomialTree,Gamma,-0.0002875690415922172
DigiCall,TrinomialTree,Vega,-0.3979187027808303
DigiCall,TrinomialTree,Theta,-0.14336888432409284
DigiCall,TrinomialTree,Rho,-0.6071004244383721
DigiCall,Monte Carlo,Price,0.8104615724718942
DigiPut,BlackScholes,Price,0.007422170928518873
DigiPut,BlackScholes,Delta,-0.0020028779915692214
DigiPut,BlackScholes,Gamma,0.0004932716910146443
DigiPut,BlackScholes,Vega,0.4932474188026354
DigiPut,BlackScholes,Theta,-0.014929548600938094
DigiPut,BlackScholes,Rho,-0.2076929484206428
DigiPut,TrinomialTree,Price,0.007484619728378082
DigiPut,TrinomialTree,Delta,-0.0015741429497762513
DigiPut,TrinomialTree,Gamma,0.00028756904159218076
DigiPut,TrinomialTree,Vega,0.39791870279190866
DigiPut,TrinomialTree,Theta,-0.020442262115785495
DigiPut,TrinomialTree,Rho,-0.2116308744675793
DigiPut,Monte Carlo,Price,0.00720483062708624
AmericanCall,TrinomialTree,Price,21.24569542223998
AmericanCall,TrinomialTree,Delta,0.9831936463786022
AmericanCall,TrinomialTree,Gamma,0.0018093018525178195
AmericanCall,TrinomialTree,Vega,1.9205112797475703
AmericanCall,TrinomialTree,Theta,14.528566587101787
AmericanCall,TrinomialTree,Rho,77.04055561135353
AmericanPut,TrinomialTree,Price,0.12092635211268495
AmericanPut,TrinomialTree,Delta,-0.04867826943636685
AmericanPut,TrinomialTree,Gamma,0.01827075874951399
AmericanPut,TrinomialTree,Vega,6.972558929501071
AmericanPut,TrinomialTree,Theta,0.010940041229159852
AmericanPut,TrinomialTree,Rho,-1.7819172688495115
